split_index,young_young,young_old,old_young,old_old,model,regress_out_age,weight_exponent
0,0.8117873437860107,0.7818830057392995,0.8006111462923069,0.7882586463051747,gb,False,0.0
1,0.8009286264391623,0.7832041928033091,0.7944323655044008,0.7876415125597087,gb,False,0.0
2,0.8106873285634818,0.7727928348463536,0.8044765588457924,0.7803497828000093,gb,False,0.0
3,0.8051371726719101,0.7831440027323378,0.7952026183620868,0.7869209347583233,gb,False,0.0
4,0.8058779439347423,0.7924928805564702,0.7999735779460728,0.7964085967336212,gb,False,0.0
5,0.8077627681842848,0.7876426024890025,0.8022511449425777,0.7944557281161895,gb,False,0.0
6,0.8145554059271088,0.7864257293075958,0.8074838248108079,0.7943226022921315,gb,False,0.0
7,0.8126298835167436,0.7790198863832203,0.8065826330206509,0.7864946862298549,gb,False,0.0
8,0.8159615234507777,0.7861764391944781,0.806123838709682,0.7930782128371165,gb,False,0.0
9,0.812636675679971,0.782504302369836,0.8032041890404253,0.7867981548634314,gb,False,0.0
