split_index,young_young,young_old,old_young,old_old,model,regress_out_age,weight_exponent
0,0.8117873437860107,0.7702148252665793,0.7961217635465042,0.7882586463051747,gb,False,1.0
1,0.8009286264391623,0.7726665479218658,0.7846155699699632,0.7876415125597087,gb,False,1.0
2,0.8106873285634818,0.761070982120382,0.7971587371205895,0.7803497828000093,gb,False,1.0
3,0.8051371726719101,0.771121227915383,0.7880827000859177,0.7869209347583233,gb,False,1.0
4,0.8058779439347423,0.7837640131941626,0.793250745752565,0.7964085967336212,gb,False,1.0
5,0.8077627681842848,0.7776991086203263,0.790251471419058,0.7944557281161895,gb,False,1.0
6,0.8145554059271088,0.7772419835417804,0.7980667113308266,0.7943226022921315,gb,False,1.0
7,0.8126298835167436,0.7727983285481184,0.7928649616067336,0.7864946862298549,gb,False,1.0
8,0.8159615234507777,0.7804370508076568,0.8001315998471785,0.7930782128371165,gb,False,1.0
9,0.812636675679971,0.770046832929638,0.7943858599005404,0.7867981548634314,gb,False,1.0
