split_index,young_young,young_old,old_young,old_old,model,regress_out_age,weight_exponent
0,0.6985755197021017,0.7028923479327565,0.6938009422193685,0.6981059368947444,svc,False,1.0
1,0.7008042071782268,0.69610279119216,0.6995480128599005,0.698129591493425,svc,False,1.0
2,0.7029822207696587,0.6854479119394975,0.706213646973938,0.6882683364058636,svc,False,1.0
3,0.6891936305284638,0.6910379858971532,0.6816977332381897,0.6950202434911306,svc,False,1.0
4,0.7043791490089565,0.7044090119196091,0.703565382925326,0.7030788246785554,svc,False,1.0
5,0.7015381393399587,0.6923708427312657,0.6985138437713964,0.7024727720723365,svc,False,1.0
6,0.7060430187202542,0.6982137890904732,0.7044832532066363,0.6992575552628334,svc,False,1.0
7,0.7019353722457345,0.6988518018973013,0.7017205401824096,0.701378032520783,svc,False,1.0
8,0.701188026447336,0.6936018110012098,0.7016079758121736,0.6934590923646197,svc,False,1.0
9,0.702720765052044,0.695614822915556,0.6993061031785528,0.6966792905689803,svc,False,1.0
