split_index,young_young,young_old,old_young,old_old,model,regress_out_age,weight_exponent
0,0.8006241607599475,0.7640481557537437,0.7760670306878806,0.7710413260158333,gb,True,1.0
1,0.7919025998759979,0.7616301748772915,0.7713075746075349,0.7788283357115648,gb,True,1.0
2,0.8036305348450486,0.7477941557111971,0.7899840404497963,0.7733615183061193,gb,True,1.0
3,0.797656019656699,0.7543566198706408,0.7785501115749976,0.7757963536811847,gb,True,1.0
4,0.7992520171814314,0.770695705137544,0.7850184373774283,0.7900501941003387,gb,True,1.0
5,0.7973634668476484,0.7670789502818189,0.783939962324023,0.7841565773027441,gb,True,1.0
6,0.8047500338736031,0.7618396721254167,0.7871783455843818,0.7829574350393655,gb,True,1.0
7,0.8000341387171424,0.7609161230681076,0.7816315562673732,0.7771788272147113,gb,True,1.0
8,0.8067985675230007,0.7661041236746602,0.7919043448977077,0.781674642425105,gb,True,1.0
9,0.8050359894160377,0.7630145325431196,0.7843871011148889,0.7775707818951456,gb,True,1.0
