split_index,young_young,young_old,old_young,old_old,model,regress_out_age,weight_exponent
0,0.6934610679924945,0.6994788575905189,0.691853313092559,0.693956089307086,svc,True,1.0
1,0.700814123648186,0.695946332686908,0.6987651677968663,0.6934008355275549,svc,True,1.0
2,0.698470599974326,0.680947454128632,0.7067250054962972,0.6825935986175482,svc,True,1.0
3,0.686619003647319,0.6893024800944934,0.688677534825402,0.6887226588349142,svc,True,1.0
4,0.7024681811010154,0.6977701274926946,0.7033080282493873,0.6993984961871019,svc,True,1.0
5,0.7000880719730057,0.6950873750280164,0.702261718013654,0.6982658254552606,svc,True,1.0
6,0.7039260730765917,0.6940763512197561,0.7060562064156398,0.6969400812481323,svc,True,1.0
7,0.6986527066909792,0.6947586518462205,0.7032941303964114,0.697452995419189,svc,True,1.0
8,0.6967526550001126,0.6910437717924998,0.6959087356261389,0.6889081957589127,svc,True,1.0
9,0.6996752658460732,0.6914293608314955,0.70065594118268,0.6903998076103588,svc,True,1.0
