split_index,young_young,young_old,old_young,old_old,model,regress_out_age,weight_exponent
0,0.698586942472261,0.6927170274897217,0.670091437870687,0.6982509136201986,svc,False,0.0
1,0.700737294175325,0.6879394641674222,0.689896599948286,0.6974710692969308,svc,False,0.0
2,0.7028975169278575,0.6735770727749386,0.6966409139936465,0.6881891289888117,svc,False,0.0
3,0.6890163766966917,0.6851237912607888,0.6680044024562304,0.6950390105237692,svc,False,0.0
4,0.7050156467956601,0.6931005303316133,0.685425403362559,0.7039722572509458,svc,False,0.0
5,0.7014370738986535,0.6933356889601212,0.6861232114292266,0.70146936224029,svc,False,0.0
6,0.7061085908723107,0.6834787977546485,0.6925915236362652,0.6993063011178234,svc,False,0.0
7,0.702155971612773,0.6909684164244929,0.6920122611016527,0.7023033653321655,svc,False,0.0
8,0.7002335162480013,0.6813462427951328,0.6871386936963645,0.6933712107735003,svc,False,0.0
9,0.7024657013035072,0.6836322342314527,0.6881008840462195,0.6965978532116318,svc,False,0.0
