split_index,young_young,young_old,old_young,old_old,model,regress_out_age,weight_exponent
0,0.6947630765321386,0.6892099248753734,0.66626069017969,0.6941296611351376,svc,True,0.0
1,0.7010232962902208,0.6878680393921424,0.6866809760401404,0.6933609870850576,svc,True,0.0
2,0.6980452824801653,0.6684670602992147,0.6918681729717926,0.6826065404246016,svc,True,0.0
3,0.6877499816963648,0.6791108695806858,0.6666622587427676,0.6888164495264659,svc,True,0.0
4,0.7025614923308767,0.6889625900347892,0.6834472513691177,0.6994211766555898,svc,True,0.0
5,0.6998951792477359,0.6884268580773558,0.6857439850703988,0.6977241558362767,svc,True,0.0
6,0.7032205313734587,0.6800494645894943,0.690466060939333,0.6967064925342564,svc,True,0.0
7,0.6992963656917055,0.686434303438448,0.694085095170976,0.6976906662133843,svc,True,0.0
8,0.6978317127440976,0.6769430014943427,0.6845931174980613,0.6887414164235395,svc,True,0.0
9,0.6995760150987345,0.6785238302564378,0.6849484316038694,0.6905407106950556,svc,True,0.0
